ASW0004iye,SDSSJ022359.89-083651.6,1237673701815419155,35.99957,-8.61436,,,,,,,http://mite.physik.uzh.ch/data/006709
ASW0004ad7,SDSSJ022400.17-081008.3,1237652901300535964,36.0007,-8.169,,,,,,,
ASW0003xo6,SDSSJ022400.40-063633.4,1237679340032360972,36.0017,-6.60929,0.515,,,,,,
ASW000497q,SDSSJ022405.93-081204.8,1237653502042832949,36.0247,-8.20134,,,,,,,
ASW0003wsu,SDSSJ022406.13-062846.5,1237679340032360484,36.026,-6.48063,,,,,,,
ASW00049cr,SDSSJ022408.20-080401.3,1237652901300601188,36.0342,-8.06705,,,,,,,
ASW0004a8z,SDSSJ022454.72-075637.4,1237652901300666523,36.228,-7.94374,,tidal trail of companion?,,,,,
ASW0004aem,SDSSJ022508.83-072750.5,1237653503116705964,36.2868,-7.46403,,,,,,,
ASW0004afn,SDSSJ022545.26-074634.9,1237653472514736347,36.4386,-7.77639,0.720,,,,,,
ASW0004kg7,SDSSJ022629.40-091017.9,1237673700741742821,36.62253,-9.17165,,,,,,,http://mite.physik.uzh.ch/data/008113
ASW00049xa,SDSSJ022637.76-073627.9,1237679437741425643,36.6573,-7.60775,,,,,,,
ASW00049gy,SDSSJ022651.38-074449.1,1237673701815943362,36.7141,-7.74698,,overlap face-on?,,,,,
ASW0004ajj,SDSSJ022652.34-075805.4,1237652901300863076,36.7181,-7.96817,,Merger,,,,,
ASW0004htb,SDSSJ022659.37-034931.9,1237679323935866988,36.7474,-3.82554,,,,,,,
ASW0004a4v,SDSSJ022727.31-080255.2,1237652901300928978,36.8638,-8.04869,,starforming?,,,,,
ASW0004874,SDSSJ022805.65-051733.8,1237679253061959890,37.02358,-5.29274,,,,ASW00047ae,,,http://mite.physik.uzh.ch/data/012554
ASW00047ae,SDSSJ022805.73-051733.8,1237679253061959892,37.0239,-5.29274,,,,ASW0004874,,,
ASW00042d9,SDSSJ022817.45-080242.7,1237673701279072720,37.07272,-8.0452,0.483,,,,,,
ASW000453b,SDSSJ022912.07-034645.0,1237679323936064211,37.3003,-3.77918,,,,,,,http://mite.physik.uzh.ch/data/008479
ASW0003sot,SDSSJ023100.25-062140.2,1237679340033147787,37.75105,-6.36118,,,,,,,
ASW0004106,SDSSJ023123.13-082533.3,1237652900764451364,37.8464,-8.42593,0.541,,,ASW00043hv,,,http://mite.physik.uzh.ch/data/011762
ASW00058n5,SDSSJ023159.33-061838.5,1237679340033278293,37.99723,-6.31071,,,,,,,http://mite.physik.uzh.ch/data/008119
ASW000575h,SDSSJ023303.33-055733.5,1237679340570280178,38.2639,-5.95933,,,,,,,http://mite.physik.uzh.ch/data/012432
ASW00050ev,SDSSJ023307.07-043838.3,1237679253599420825,38.2795,-4.64398,0.671,,,,,,
ASW00057f5,SDSSJ023323.68-055917.4,1237679340570280476,38.3487,-5.98819,,,,,,,
ASW00050xz,SDSSJ023327.58-042312.6,1237679254136291931,38.3649,-4.38685,,,,,,,
ASW0004zgf,SDSSJ023354.96-043604.3,1237679253599486443,38.47902,-4.60121,0.46,,,,,,http://mite.physik.uzh.ch/data/012581
ASW0004zyv,SDSSJ023514.88-041854.8,1237679254136488534,38.81203,-4.31525,0.714,,,,,,
ASW0004q9e,SDSSJ084843.18-013335.9,1237673709865796597,132.18,-1.55999,,,,,,,
ASW0004pbz,SDSSJ085012.59-014904.9,1237673709329056249,132.55248,-1.81804,,,,,,,http://mite.physik.uzh.ch/data/012585
