1411.6009,6009,,
ASW0000004,0004,,
ASW000000c,000c,,
ASW000000d,000d,,
ASW00000kv,00kv,,
ASW00000mu,00mu,,
ASW00000oz,00oz,,
ASW000017u,017u,,
ASW000018e,018e,,
ASW00001bx,01bx,,uncertain
ASW00001tr,01tr,plausible,
ASW000025u,025u,,
ASW00004k0,04k0,,
ASW00004rk,04rk,,
ASW0000564,0564,,
ASW0000717,0717,maybe,
ASW000079d,079d,,
ASW000084j,084j,,
,087a,nomodels,
ASW00008zh,08zh,,
ASW000090m,090m,rathernot,
ASW000092a,092a,,
ASW0000a6f,0a6f,,uncertain
ASW0000a7l,0a7l,,
ASW0000ad9,0ad9,,
ASW0000ar2,0ar2,,
ASW0000b1s,0b1s,,
ASW0000b5l,0b5l,,
ASW0000b76,0b76,,
ASW0000bl0,0bl0,,
ASW0000boq,0boq,,
ASW0000bsh,0bsh,,
ASW0000c0w,0c0w,,
ASW0000cn1,0cn1,,
ASW0000dx3,0dx3,,
ASW0000e28,0e28,,
ASW0000e7t,0e7t,,
ASW0000eud,0eud,,
ASW0000fet,0fet,,
ASW0000ftc,0ftc,,
,0g0k,nomodels,
ASW0000gau,0gau,,
ASW0000get,0get,rathernot,
ASW0000h2m,0h2m,,
ASW0000i3o,0i3o,,
ASW0000icl,0icl,,
ASW0000id5,0id5,,
ASW0000ii2,0ii2,rathernot,
ASW0000kad,0kad,,
ASW0000lhy,0lhy,,
ASW0000llr,0llr,,
ASW0000lpr,0lpr,,
ASW0000ma8,0ma8,rathernot,
ASW0000mxp,0mxp,,plausable
ASW0000nry,0nry,complicated,
,0o2y,nomodels,
ASW0000o6h,0o6h,plausible,
ASW0000od9,0od9,,
ASW0000p9m,0p9m,,
ASW0000pkk,0pkk,,
ASW0000qmo,0qmo,,
ASW0000r8n,0r8n,,
ASW0000rl3,0rl3,,
ASW0000s9s,0s9s,,
ASW0000sfo,0sfo,,plausible
ASW0000sgy,0sgy,,
ASW0000sk9,0sk9,complicated,
,0tqz,nomodels,
ASW0000v4y,0v4y,,
ASW0000vmg,0vmg,,
ASW0000vmh,0vmh,,
ASW0000vqg,0vqg,,
ASW0000w54,0w54,,
ASW0000we9,0we9,,
ASW0000x1l,0x1l,convincing,convincing
ASW0000x64,0x64,,
ASW0000x8n,0x8n,,
ASW0000yv8,0yv8,,
ASW0000ywz,0ywz,,
ASW000102p,102p,,
ASW00011ls,11ls,plausible,
ASW00013kj,13kj,,
ASW00013ml,13ml,,
ASW00014ba,14ba,,
ASW00014sd,14sd,,plausible
ASW00015mc,15mc,complicated,
ASW000163c,163c,,
ASW00017w2,17w2,maybe,
ASW00018cx,18cx,,
,18xr,nomodels,
ASW000195x,195x,,
ASW00019hr,19hr,,
ASW00019rw,19rw,,
ASW0001a2m,1a2m,,
ASW0001a8c,1a8c,,
ASW0001a91,1a91,,
ASW0001b4j,1b4j,,
,1c3j,nomodels,
ASW0001cwo,1cwo,,
ASW0001d74,1d74,,
ASW0001e2j,1e2j,,complicated
ASW0001eyn,1eyn,,
ASW0001g1u,1g1u,,
ASW0001g84,1g84,,
ASW0001gae,1gae,,
ASW0001ghz,1ghz,maybe,
ASW0001gve,1gve,,
ASW0001h1w,1h1w,,
ASW0001hpf,1hpf,,
ASW0001i1v,1i1v,,
ASW0001ivd,1ivd,complicated,
ASW0001j22,1j22,,
ASW0001k0p,1k0p,,
ASW0001k4i,1k4i,rathernot,
ASW0001kv0,1kv0,,
ASW0001l9r,1l9r,,
ASW0001lqq,1lqq,,
ASW0001m2r,1m2r,,
ASW0001mze,1mze,,
ASW0001sym,1sym,,
ASW0001vga,1vga,maybe,
ASW0001vjj,1vjj,,
ASW0001vtq,1vtq,complicated,
ASW0001wqh,1wqh,,
ASW0001ykg,1ykg,"strange, maybe",
ASW0001yqb,1yqb,plausible,
ASW0001yw2,1yw2,,
ASW0001z10,1z10,complicated,
ASW000204c,204c,,
ASW00020hq,20hq,,
ASW00020iq,20iq,,
ASW00022ck,22ck,,
ASW00022of,22of,,
ASW000234o,234o,,plausible
ASW00023e3,23e3,,
ASW00023pg,23pg,,
ASW0002457,2457,,
ASW0002494,2494,,plausible
ASW00024id,24id,plausible,
ASW00024q6,24q6,"strange, plausible",
ASW00025bm,25bm,plausible,
ASW00025rt,25rt,,
ASW00025sz,25sz,,
ASW00025tl,25tl,,
ASW000261b,261b,,
ASW00028k4,28k4,,
ASW00028pk,28pk,,
ASW0002a7a,2a7a,,
ASW0002asp,2asp,,
ASW0002b29,2b29,,
ASW0002b6m,2b6m,,
ASW0002bry,2bry,maybe,
ASW0002cu8,2cu8,,
ASW0002dbh,2dbh,,
ASW0002dx7,2dx7,plausible,plausible
ASW0002e4w,2e4w,,
ASW0002elx,2elx,,
ASW0002fqt,2fqt,,plausible
ASW0002g35,2g35,,plausible
ASW0002gbf,2gbf,,
,2h7f,nomodels,
ASW0002hxu,2hxu,,
ASW0002ih7,2ih7,,
ASW0002j7m,2j7m,,
ASW0002jo0,2jo0,,
ASW0002k40,2k40,,
ASW0002krg,2krg,,
ASW0002lcl,2lcl,,
ASW0002ly7,2ly7,,
ASW0002p7c,2p7c,,
ASW0002pj5,2pj5,"complicated, strange, plausable",
ASW0002qm0,2qm0,plausible,
,2qtn,nomodels,
,2sej,nomodels,
,2smy,nomodels,
ASW0002ta6,2ta6,,plausible
ASW0002u9p,2u9p,,uncertain
ASW0002w6w,2w6w,,
ASW0002we3,2we3,,uncertain
ASW0002xdi,2xdi,uncertain,
ASW0002z6f,2z6f,,
ASW0002zbd,2zbd,,
ASW00030bz,30bz,,
ASW00030q1,30q1,,
ASW00030ys,30ys,,
ASW000316k,316k,,
ASW00031go,31go,,
ASW00031ve,31ve,,
ASW000326k,326k,,
ASW00032t2,32t2,,
ASW000348j,348j,maybe,
ASW000358m,358m,,
ASW00036cw,36cw,,
ASW00037pp,37pp,,
ASW00038cq,38cq,,
,38ge,nomodels,
ASW0003bit,3bit,,plausable
ASW0003cpv,3cpv,,
ASW0003ctp,3ctp,,
ASW0003dq7,3dq7,,
ASW0003dxc,3dxc,,
ASW0003e3q,3e3q,,
ASW0003er8,3er8,,
ASW0003gfa,3gfa,,
,3gpg,nomodels,
,3gqi,nomodels,
ASW0003i3d,3i3d,rathernot,
ASW0003img,3img,,
ASW0003iql,3iql,,
ASW0003kcj,3kcj,,
ASW0003kqk,3kqk,,
ASW0003lo2,3lo2,plausible,
ASW0003ls1,3ls1,plausible,
ASW0003mrg,3mrg,,
ASW0003n5d,3n5d,,
ASW0003nqv,3nqv,,
ASW0003nzk,3nzk,,
ASW0003oh1,3oh1,,
ASW0003oj7,3oj7,,
ASW0003pbp,3pbp,,
ASW0003pj1,3pj1,,plausible
ASW0003pwm,3pwm,,
ASW0003q00,3q00,,
ASW0003q47,3q47,,complicated
ASW0003q62,3q62,,
ASW0003r2w,3r2w,,
ASW0003r61,3r61,,
ASW0003raj,3raj,,
,3sot,nomodels,
ASW0003uzj,3uzj,,
ASW0003wsu,3wsu,convincing,
ASW0003xan,3xan,,
ASW0003xo6,3xo6,plausible,
ASW00040b3,40b3,,
ASW0004106,4106,complicated,
ASW000412m,412m,,
ASW00042d9,42d9,plausible,
ASW00042lz,42lz,,
ASW00043j0,43j0,,
ASW00044m4,44m4,,
ASW000453b,453b,,
ASW00045mb,45mb,,
ASW00046a9,46a9,,
ASW00046g2,46g2,,
ASW00047ae,47ae,,
ASW00048c0,48c0,,
ASW00048kl,48kl,,
ASW00048ls,48ls,,
ASW00048x4,48x4,,
ASW0004a8z,4a8z,,
ASW0004b90,4b90,,
ASW0004bf7,4bf7,,
ASW0004c5w,4c5w,,
ASW0004d3d,4d3d,,
ASW0004dc1,4dc1,,
ASW0004dv8,4dv8,,
ASW0004e6l,4e6l,,
ASW0004ey1,4ey1,,
ASW0004eyn,4eyn,,
ASW0004f0m,4f0m,,
ASW0004fgb,4fgb,,
ASW0004fna,4fna,,
ASW0004fvb,4fvb,,
ASW0004gq1,4gq1,,
ASW0004hr1,4hr1,,
ASW0004i23,4i23,,
ASW0004i4b,4i4b,,
ASW0004i6u,4i6u,,
ASW0004id9,4id9,,
ASW0004ijz,4ijz,,
ASW0004iye,4iye,,
ASW0004kg7,4kg7,,
ASW0004kh7,4kh7,,
ASW0004nfh,4nfh,,
ASW0004o2e,4o2e,,
ASW0004oux,4oux,,
ASW0004oy7,4oy7,,
ASW0004p3c,4p3c,,
ASW0004pbi,4pbi,,
ASW0004pbz,4pbz,,
ASW0004rj2,4rj2,,
ASW0004rs8,4rs8,,
ASW0004t3r,4t3r,,
ASW0004vor,4vor,,
ASW0004wcm,4wcm,,
ASW0004ws9,4ws9,,
ASW0004zgf,4zgf,,
ASW0004ziw,4ziw,,
ASW0004zqh,4zqh,,
ASW0004zqw,4zqw,,
ASW0004zyv,4zyv,,
ASW00050xz,50xz,,
ASW00051ld,51ld,,
ASW00054e9,54e9,,
ASW00054l3,54l3,,
ASW00055ce,55ce,,
ASW00055mm,55mm,,
ASW00056od,56od,,
ASW00056pq,56pq,,complicated
ASW000575h,575h,,
ASW00057ip,57ip,,
ASW00057z9,57z9,,
ASW000585f,585f,,
ASW000587x,587x,,
ASW00058iq,58iq,,
ASW00058n5,58n5,,
ASW00058no,58no,,
ASW00058ps,58ps,,
ASW00058s2,58s2,,
ASW00059a7,59a7,,
ASW00059cd,59cd,,
ASW0005c4y,5c4y,,
ASW0005cl2,5cl2,,
ASW0005dxd,5dxd,,
ASW0005exg,5exg,,
ASW0005fz6,5fz6,,
ASW0005gvn,5gvn,,
ASW0005hvt,5hvt,,plausable
ASW0005iol,5iol,,
ASW0005ire,5ire,,
ASW0005ktw,5ktw,,
ASW0005mp6,5mp6,,
ASW0005ms2,5ms2,,
ASW0005myj,5myj,,
ASW0005n4g,5n4g,,
ASW0005nq1,5nq1,,
ASW0005o38,5o38,,
ASW0005w3f,5w3f,,
ASW000602d,602d,,
ASW00060lk,60lk,,
ASW00060u8,60u8,,
ASW000619d,619d,,
ASW00061d2,61d2,,
